"row","filename","title","author","year","page_number","image_url","license"
"70","070_bsb10291480_399_conf_1.00.png","Kaufmännische Berichte, gesammelt auf einer Reise um die Welt mit der Kriegs-Corvette Galathea in den Jahren 1845, 46 und 47 : Ein Handbuch für Handels- u. Gewerbs-Statistik","Nopitsch, Wilhelm Hermann","1849","375 (0399)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10291480_00399/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"71","071_bsb11507329_93_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1889, 1. Jan. - 31. Okt.",,"1889","91 (0093)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507329_00093/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"72","072_bsb11507330_48_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1889, 1. Jan. - 30. Nov.",,"1889","46 (0048)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507330_00048/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"73","073_bsb10213928_25_conf_1.00.png","Rechen-Tabellen zur bequemen Ausmittelung der, nach dem Zoll- und Verbrauchs-Steuer-Tarif vom 26. May 1818, für sämtliche Königl. Preuß. Provinzen zu entrichtenden Abgaben : nebst Beifügung des Tarifs selbst","Hauchecorne, W.","1818","(0025)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10213928_00025/full/full/0/default.jpg","https://rightsstatements.org/vocab/NoC-NC/1.0/"
"74","074_bsb10292389_313_conf_1.00.png","Ueber Hamburgs Handel / 3 : Statistik des Hamburgischen Handels : 1842. 1843. 1844.","Soetbeer, Adolf","1846","(0313)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10292389_00313/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"75","075_bsb10228034_53_conf_1.00.png","Das österreichische Tabak-Monopol seit dessen Ausdehnung auf das gesammte Staatsgebiet : Ein Beitrag zur Statistik des Tabak-Monopols","Plenker, Georg Ritter von","1857","49 (0053)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10228034_00053/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"76","076_bsb10228053_76_conf_1.00.png","Genikos pinax tu exōteriku emporiu tēs Ellados : = Tableau général du commerce de la Grèce avec les nations étrangères / 1858 (1859)",,"1859","56 (0076)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10228053_00076/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"77","077_bsb10227603_13_conf_1.00.png","Tabellarische Übersichten des hamburgischen Handels / 1851","Hamburg, Handelsstatistisches Bureau","1851","9 (0013)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10227603_00013/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"78","078_bsb10942937_2_conf_1.00.png","Übersichts-Tabelle der Ein-, Aus- und Durchfuhr : im Jahr ... / 1873","Schweiz","1873","2 (0002)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10942937_00002/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"79","079_bsb11011412_39_conf_1.00.png","Tabellen zur Umwandlung des bayr. Längen-, Flächen- & Körpermases in das Metermas und umgekehrt sammt den Preisverwandlungen für Brandversicherungstaxatoren und Bauhandwerker","Ziebland, G.","1872","37 (0039)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11011412_00039/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
